annotation_id,annotator,email,created_at,timestamp,id,image,lead_time,text_cap_en,text_cap_native,text_culture_loc,text_image_loc,text_submitter_native_lang,updated_at,similarity_id
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/06FB44B1-BD3A-4D93-B294-1D9E1B3EFEB7%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/5773219D-AF68-4B36-B7D1-5118AB5494BE%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/72FB269E-91EB-4D1A-A2E0-B1094A544C0A%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/AE32E3F9-1E06-4544-9953-74CEDA359175%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/C61A394D-0354-476A-A584-4C7A673B9C4A%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/CCC3D3C5-8945-4AE2-BB7F-59A773365BA1%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/D186AD20-32F1-4706-89A5-23B46C7E1009%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/D1A5536D-2321-4232-8FE1-33516817CA27%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_0643%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,"Indonesia, Malaysia",,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_0802%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_2460%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_3006%20-%20Sherissa%20Caren%20Djuniwar.jpg,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_3358%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_3486%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_3609%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_3617%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_4269%20-%20Sherissa%20Caren%20Djuniwar.jpg,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_4270%20-%20Sherissa%20Caren%20Djuniwar.jpg,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_4272%20-%20Sherissa%20Caren%20Djuniwar.jpg,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_4273%20-%20Sherissa%20Caren%20Djuniwar.jpg,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_4316%20-%20Sherissa%20Caren%20Djuniwar.jpg,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_4361%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_4452%20-%20Sherissa%20Caren%20Djuniwar.jpg,,,,"Indonesia, Singapore",,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_4609%20-%20Sherissa%20Caren%20Djuniwar.jpg,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_4610%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
,,seacrowd.research@gmail.com,31/08/2025,31/08/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/IMG_4786%20-%20Sherissa%20Caren%20Djuniwar.JPG,,,,Indonesia,,Indonesian (ind),,
